gold,prompt,task_name,style
,"For clinical trial NCT00478049 among the more effective regimen ingredients, identify which ingredient starts with the letter D.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date,original
Not_Listed,"For clinical trial NCT00079274, review the more effective regimen ingredients and identify which ingredient starts with the letter I.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval,original
"May 28, 2026","For clinical trial NCT01307605 among the more effective regimen ingredients, identify which ingredient starts with the letter L.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date,original
"Apr 27, 2027","First, for clinical trial NCT01307605 among the more effective regimen ingredients, identify which ingredient starts with the letter L.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.",Patent_Expire_Date_Text,original
ABBVIE INC,"First, for clinical trial NCT00260689 among the more effective regimen ingredients, identify which ingredient starts with the letter C.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.",Applicant_Full_Name,original
46.72999954223633,"For clinical trial NCT01938001, review the more effective regimen ingredients and identify which ingredient starts with the letter L.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval,original
,"For clinical trial NCT00416507 among the more effective regimen ingredients, identify which ingredient starts with the letter G.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date,original
,"For clinical trial NCT02340221 among the more effective regimen ingredients, identify which ingredient starts with the letter F.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date,original
"May 16, 2036","First, for clinical trial NCT00478049 among the more effective regimen ingredients, identify which ingredient starts with the letter D.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.",Patent_Expire_Date_Text,original
,"For clinical trial NCT01251107 among the more effective regimen ingredients, identify which ingredient starts with the letter P.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date,original
CRIZOTINIB,"Regarding clinical trial NCT01639001, among the ingredients of the regimen demonstrating superior efficacy, identify the specific agent whose nomenclature begins with the letter 'C'. Return exclusively the name of the ingredient or 'UNKNOWN' in uppercase letters, strictly adhering to the format: INGREDIENT: NAME.",Ingredient,style1_formal
CRIZOTINIB,"For NCT01639001, find the more effective ingredient starting with C. Return only the name or UNKNOWN in all CAPS as INGREDIENT: name.",Ingredient,style2_concise
CRIZOTINIB,"First, examine clinical trial NCT01639001 to identify the ingredients in the more effective regimen. Then, determine which of these ingredients has a name starting with the letter C. Finally, return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name.",Ingredient,style3_stepwise
CRIZOTINIB,"Regarding clinical trial NCT01639001. Among the components of the more efficacious regimens, identify the constituent whose name commences with the letter 'C'; return the result exclusively as the constituent's name, or ""unknown"", in all-uppercase, formatted as INGREDIENT: name.",Ingredient,style1_formal
CRIZOTINIB,"For clinical trial NCT01639001: Find the more effective regimen ingredient starting with C. Return the name or ""unknown"" in all CAPS, formatted as INGREDIENT: name.",Ingredient,style2_concise
CRIZOTINIB,"First, for clinical trial NCT01639001, find the ingredients from the more effective regimen. Then, from these ingredients, find which one starts with the letter C. Finally, return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name.",Ingredient,style3_stepwise
IRINOTECAN HYDROCHLORIDE,"Regarding clinical trial NCT00012389: From the set of constituents comprising the more efficacious regimens, identify the ingredient whose name commences with the letter 'I'. The output must be restricted to the ingredient's name, or 'UNKNOWN', rendered in all capital letters in the format: INGREDIENT: name",Ingredient,style1_formal
IRINOTECAN HYDROCHLORIDE,"For clinical trial NCT00012389, identify the ingredient starting with I in the more effective regimen. Return the name or UNKNOWN in all caps, formatted as INGREDIENT: name.",Ingredient,style2_concise
IRINOTECAN HYDROCHLORIDE,"First, consider the clinical trial NCT00012389. Then, from the more effective regimen ingredients identified in this trial, find the ingredient whose name starts with the letter 'I'. Finally, return only the name of this ingredient, or 'unknown' if none is found, in all CAPS using the format: INGREDIENT: name",Ingredient,style3_stepwise
,"With respect to clinical trial NCT03150875, identify the therapeutically active constituent of the specified regimen whose nomenclature commences with the letter 'D'.

Subsequently, for this identified substance, ascertain the U.S. Food and Drug Administration (FDA) designated exclusivity date, provided its most recent marketing authorization was granted on or before December 2024.
It is to be noted that this query pertains exclusively to the original marketing authorization by the FDA, and explicitly excludes approvals for new indications or supplemental applications.
Should the exclusivity date be non-existent or unavailable, the required response is 'DATE: NA'. In all other cases, the response must consist solely of the date, presented in the format 'date: MM-DD-YYYY'.",Exclusivity_Date,style1_formal
,"For clinical trial NCT03150875, identify the effective regimen ingredient that starts with the letter D.

For this ingredient, what is its FDA exclusivity date from its last overall approval up till Dec, 2024?
Consider only overall FDA drug approval, not new indications or supplemental approvals.
If no exclusivity date exists or is unavailable, respond with 'DATE: NA'. Otherwise, return the date in the format: date: MM-DD-YYYY.",Exclusivity_Date,style2_concise
,"First, for clinical trial NCT03150875, identify which ingredient among the more effective regimen ingredients starts with the letter D.

Then, for this identified ingredient, find its FDA exclusivity date that is associated with its last overall FDA drug approval granted up till Dec, 2024.
Note that we are only looking for overall FDA drug approval, not new indication, not supplemental approvals.

Finally, provide the resulting date. If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date,style3_stepwise
"Jun 26, 2035","Pertaining to clinical trial NCT00090051, among the constituents of the more efficacious regimen, identify the component that commences with the letter 'C'.

Subsequently, for this identified component, determine its patent expiration date, considering its most recent overall FDA drug approval was conferred on or before Dec, 2024.
Note that the inquiry is restricted to overall FDA drug approval, excluding new indications and supplemental approvals.
Return only the year component of the date, in the YYYY format of date: YYYY.",Patent_Expire_Date_Text,style1_formal
"Jun 26, 2035","In clinical trial NCT00090051, which effective regimen ingredient starts with C?

For this ingredient, what is the patent expiration date of its last overall FDA drug approval by Dec, 2024?
Note: Exclude new indications and supplemental approvals.
Return the year only in YYYY format.",Patent_Expire_Date_Text,style2_concise
"Jun 26, 2035","First, for clinical trial NCT00090051, identify the ingredient within the more effective regimen that starts with the letter C.

Then, for this specific ingredient, find the patent expiration date associated with its last overall FDA drug approval on or before Dec, 2024. Note that new indications or supplemental approvals should not be considered.

Finally, return only the year of that patent expiration date in YYYY format.",Patent_Expire_Date_Text,style3_stepwise
BRISTOL MYERS SQUIBB,"Initially, with respect to the therapeutic regimen evaluated in clinical trial NCT01307605, identify the constituent active ingredient whose name commences with the letter L.

Subsequently, ascertain the company holding the most recent FDA approval for the aforementioned ingredient, with an approval date no later than December 2024. It is to be noted that this query is restricted to original FDA drug approvals, thereby excluding approvals for new indications or supplemental applications.

Provide only the company's name, formatted as follows: COMPANY: name.",Applicant_Full_Name,style1_formal
BRISTOL MYERS SQUIBB,"For clinical trial NCT01307605, identify the ingredient in the more effective regimen starting with the letter L.

Then, for this ingredient, find the company with the latest overall FDA drug approval by Dec, 2024. Exclude new indications and supplemental approvals.
Return the company name in the format COMPANY: name.",Applicant_Full_Name,style2_concise
BRISTOL MYERS SQUIBB,"First, for clinical trial NCT01307605, identify the ingredients included in the more effective regimen.

Then, from this list of ingredients, select the one that starts with the letter L.

Finally, for this specific ingredient, find which company received the latest overall FDA drug approval (not a new indication or supplemental approval) up till Dec, 2024. Return only the company name in the format of COMPANY: name.",Applicant_Full_Name,style3_stepwise
HOFFMANN LA ROCHE INC,"Pertaining to clinical trial NCT01667419, identify the therapeutic agent among the efficacious regimen components whose name commences with the letter V.

Subsequently, determine the company that holds the most recent FDA approval for this identified agent, with an approval date on or before Dec, 2024. Note that this query is restricted to the overall FDA drug approval, thereby excluding new indications or supplemental approvals.
Return only the company name in the format of COMPANY: name.",Applicant_Full_Name,style1_formal
HOFFMANN LA ROCHE INC,"From the more effective regimens in clinical trial NCT01667419, identify the ingredient starting with V.

Find the company with the latest overall FDA drug approval for this ingredient by Dec, 2024. Exclude new indications and supplemental approvals.
Return the company name in the format: COMPANY: name.",Applicant_Full_Name,style2_concise
HOFFMANN LA ROCHE INC,"First, examine the more effective regimen in clinical trial NCT01667419 and identify the ingredient that starts with the letter V.

Then, for the ingredient identified in the previous step, find the company that received the latest overall FDA drug approval. The approval date must be on or before Dec, 2024. Note that you should only consider overall FDA drug approvals, not new indications or supplemental approvals.

Finally, return only the company name in the format of COMPANY: name.",Applicant_Full_Name,style3_stepwise
"Jul 14, 2025","In reference to clinical trial NCT01639001, among the constituent agents of the more efficacious therapeutic regimens, identify the specific agent whose name commences with the letter C.

Subsequently, for this identified agent, provided its most recent initial approval was granted on or before Dec, 2024, what is its FDA-conferred regulatory exclusivity date?
Note that this inquiry pertains exclusively to the overall FDA drug approval, and not to new indications or supplemental approvals.
If no exclusivity date exists or if it is unavailable, respond with 'DATE: NA'. Otherwise, return only the date in the MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date,style1_formal
"Jul 14, 2025","For clinical trial NCT01639001, which ingredient in the more effective regimen starts with the letter C?

For this ingredient, what is its FDA exclusivity date from its last overall drug approval up till Dec, 2024?
Consider only overall FDA drug approval, not new indications or supplemental approvals.
If no exclusivity date exists or is unavailable, respond 'DATE: NA'. Otherwise, return only the date in the format: date: MM-DD-YYYY.",Exclusivity_Date,style2_concise
"Jul 14, 2025","First, for clinical trial NCT01639001, among the more effective regimen ingredients, identify which ingredient starts with the letter C.

Then, for this identified ingredient, find its exclusivity date according to the FDA for its last approval up till Dec, 2024. Note that we are only looking for overall FDA drug approval, not new indication or supplemental approvals.

Finally, if no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format as: date: MM-DD-YYYY.",Exclusivity_Date,style3_stepwise
PEMETREXED DISODIUM,"For clinical trial NCT01469000, from the set of ingredients comprising the more effective regimens, identify the constituent whose name commences with the letter P; return only the name of the ingredient or 'unknown' in all capital letters, in the format of INGREDIENT: name.",Ingredient,style1_formal
PEMETREXED DISODIUM,"For clinical trial NCT01469000, from the more effective regimen ingredients, find the ingredient starting with P. Return the name or UNKNOWN in all CAPS in the format of INGREDIENT: name.",Ingredient,style2_concise
PEMETREXED DISODIUM,"First, for clinical trial NCT01469000, identify the ingredients in the more effective regimen. Then, from that list, find the ingredient name that starts with the letter P. Finally, return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name.",Ingredient,style3_stepwise
FULVESTRANT,"Regarding clinical trial NCT02340221: Among the ingredients of the most efficacious regimens, identify the one whose name commences with the letter 'F'; return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name",Ingredient,style1_formal
FULVESTRANT,"For clinical trial NCT02340221, find the more effective regimen ingredient starting with F and return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name",Ingredient,style2_concise
FULVESTRANT,"First, for clinical trial NCT02340221, consider the ingredients of the more effective regimen. Then, from those ingredients, find the one with a name that starts with the letter F. Finally, return only the name of that ingredient, or unknown if none is found, in all CAPS using the format: INGREDIENT: name",Ingredient,style3_stepwise
ZHUHAI BEIHAI BIOTECH CO LTD,"Pertaining to the investigational regimen of clinical trial NCT01038661, identify the constituent therapeutic agent whose name commences with the letter 'D'.

Subsequently, for this identified therapeutic agent, determine the company that received the most recent original FDA drug approval on or before December 2024. The scope of this query is limited to initial marketing authorizations, thereby excluding approvals for new indications or supplemental applications. The output must be formatted strictly as COMPANY: name.",Applicant_Full_Name,style1_formal
ZHUHAI BEIHAI BIOTECH CO LTD,"For clinical trial NCT01038661, identify the effective regimen ingredient starting with the letter D.

For this ingredient, find the company with the latest FDA approval date by Dec, 2024. This search is for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the company name in format of COMPANY: name.",Applicant_Full_Name,style2_concise
ZHUHAI BEIHAI BIOTECH CO LTD,"First, for clinical trial NCT01038661, identify which ingredient among the more effective regimens starts with the letter D.

Then, find which company has the latest overall FDA drug approval for this ingredient, with a search date up till Dec, 2024. Note that this search should not include new indications or supplemental approvals.

Finally, return only the company name in the format of COMPANY: name.",Applicant_Full_Name,style3_stepwise
BRISTOL MYERS SQUIBB,"With respect to clinical trial NCT01938001, identify the therapeutic agent within the most efficacious treatment regimen whose nomenclature begins with the letter 'L'.

Following this identification, determine the entity that holds the latest initial U.S. Food and Drug Administration (FDA) marketing approval for said agent, granted on or before Dec, 2024. Note that the scope of this query is confined to the original drug approval, explicitly excluding approvals for new indications or supplemental applications.
Return only the company name, formatted as COMPANY: name.",Applicant_Full_Name,style1_formal
BRISTOL MYERS SQUIBB,"For clinical trial NCT01938001, identify the ingredient in the more effective regimen that starts with L.

For this ingredient, find the company with the latest overall FDA drug approval by Dec, 2024. Exclude new indications and supplemental approvals.

Return only the company name in the format: COMPANY: name.",Applicant_Full_Name,style2_concise
BRISTOL MYERS SQUIBB,"First, for the clinical trial NCT01938001, examine the ingredients listed in the more effective regimen and identify which one starts with the letter L.

Then, using the ingredient identified in the first step, find the company that holds the latest overall FDA drug approval. Be sure to only consider approvals up to December 2024 and exclude any new indications or supplemental approvals.

Finally, provide your answer by returning only the company's name in the specific format of COMPANY: name.",Applicant_Full_Name,style3_stepwise
,"With respect to clinical trial NCT00262769, among the constituents of the more efficacious therapeutic regimens, determine which ingredient's name commences with the letter G.

Subsequently, for this identified ingredient, which received its final approval on or before Dec, 2024, what is its exclusivity expiration date as designated by the U.S. Food and Drug Administration (FDA)?
Note that the query is restricted to the overall FDA drug approval and expressly excludes new indications or supplemental approvals.
If no exclusivity date exists or if such information is not available, the designated response is 'DATE: NA'. Otherwise, return the date solely in the format of date: MM-DD-YYYY.",Exclusivity_Date,style1_formal
,"In clinical trial NCT00262769, identify the effective regimen ingredient starting with 'G'. What is the FDA exclusivity date for this ingredient, last approved by Dec, 2024?

Consider only overall FDA drug approval, not new indications or supplemental approvals.
If the exclusivity date is unavailable, respond with 'DATE: NA'. Otherwise, return the date in the format: date: MM-DD-YYYY.",Exclusivity_Date,style2_concise
,"First, for clinical trial NCT00262769 among the more effective regimen ingredients, identify which ingredient starts with the letter G.

Then, for this identified ingredient that was last approved up till Dec, 2024, find its exclusivity date according to the FDA. Note that we are only looking for overall FDA drug approval, not new indication, not supplemental approvals.

Finally, if no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date,style3_stepwise
FRESENIUS KABI USA LLC,"For clinical trial NCT02340221, among the constituent therapeutic agents of the more efficacious regimen, identify the agent whose name commences with the letter F.

Subsequently, for the aforementioned agent, determine which entity holds the most recent initial FDA drug approval up till Dec, 2024. This inquiry pertains strictly to the overall FDA drug approval, excluding new indications and supplemental approvals.
Provide the response solely in the format of COMPANY: name.",Applicant_Full_Name,style1_formal
FRESENIUS KABI USA LLC,"In clinical trial NCT02340221's more effective regimen, find the ingredient starting with the letter F.

Then, for this ingredient, find the company with the latest overall FDA drug approval by Dec, 2024. Exclude new indications and supplemental approvals. Return only the company name in format of COMPANY: name.",Applicant_Full_Name,style2_concise
FRESENIUS KABI USA LLC,"First, for clinical trial NCT02340221 among the more effective regimen ingredients, identify which ingredient starts with the letter F.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

Finally, return only the company name in format of COMPANY: name.",Applicant_Full_Name,style3_stepwise
DOCETAXEL,"For clinical trial NCT01282463: Among the constituents of the more efficacious regimens, identify the ingredient whose name commences with the letter 'D'; return only the name of the ingredient, or ""unknown"", in all CAPS, in the format of INGREDIENT: name.",Ingredient,style1_formal
DOCETAXEL,"For clinical trial NCT01282463, find the ingredient in the more effective regimen that starts with the letter D. Return only the ingredient name or UNKNOWN in all caps, formatted as INGREDIENT: name.",Ingredient,style2_concise
DOCETAXEL,"First, for clinical trial NCT01282463, find the ingredients listed in the more effective regimen.
Then, from that list, identify the ingredient whose name starts with the letter D.
Finally, return only the name of that ingredient, or ""unknown"" if none is found, in all CAPS and in the format of INGREDIENT: name.",Ingredient,style3_stepwise
"Feb 13, 2031","For clinical trial NCT00720512, among the efficacious therapeutic components of the specified regimen, identify the ingredient whose name commences with the letter I.

Subsequently, for this identified ingredient, provided its most recent overall approval by the FDA was granted on or before December 2024, ascertain its FDA-conferred exclusivity expiration date.
Note that the query is restricted to the overall FDA drug approval and explicitly excludes new indications or supplemental approvals.
Should an exclusivity date be nonexistent or unavailable, respond with 'DATE: NA'. Otherwise, the date must be returned exclusively in the format 'date: MM-DD-YYYY'.",Exclusivity_Date,style1_formal
"Feb 13, 2031","In trial NCT00720512, identify the effective regimen ingredient starting with the letter I.

For this ingredient, what is its FDA exclusivity date from its last approval by Dec, 2024?
Consider only overall FDA drug approval, not new indications or supplemental approvals.
If the exclusivity date is unavailable, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date,style2_concise
"Feb 13, 2031","First, for clinical trial NCT00720512 among the more effective regimen ingredients, identify which ingredient starts with the letter I.

Then, for this identified ingredient that was last approved up till Dec, 2024, find its exclusivity date according to the FDA.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

Finally, if no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date,style3_stepwise
HORIZON THERAPEUTICS USA INC,"Initially, concerning clinical trial NCT00052936, identify the constituent agent within the more efficacious therapeutic regimen whose name commences with the letter P.

Subsequently, determine the corporate entity that holds the most recent original U.S. Food and Drug Administration (FDA) approval for this identified agent, issued on or before Dec, 2024. Note that this inquiry is restricted to initial marketing authorizations, excluding approvals for new indications or supplemental approvals.
Return only the company name in the format: COMPANY: name.",Applicant_Full_Name,style1_formal
HORIZON THERAPEUTICS USA INC,"In clinical trial NCT00052936, find the ingredient starting with 'P' from the more effective regimens.

Find the company with the latest overall FDA drug approval for this ingredient by Dec, 2024. Exclude new indications and supplemental approvals.
Return only the company name in format of COMPANY: name.",Applicant_Full_Name,style2_concise
HORIZON THERAPEUTICS USA INC,"First, for clinical trial NCT00052936 among the more effective regimen ingredients, identify which ingredient starts with the letter P.

Then, for this identified ingredient, find which company has the latest FDA approval date up till Dec, 2024. Note that we are only looking for overall FDA drug approval, not new indidcation, not supplemental approvals.

Finally, return only the company name in the format of COMPANY: name.",Applicant_Full_Name,style3_stepwise
CYCLOPHOSPHAMIDE,"Regarding clinical trial NCT00090051, from the constituents of the more efficacious regimens, identify the one commencing with the letter 'C' and return only its name, or UNKNOWN, in all CAPS, per the format: INGREDIENT: name.",Ingredient,style1_formal
CYCLOPHOSPHAMIDE,"For clinical trial NCT00090051, find the most effective regimen ingredient starting with C and return the name or UNKNOWN in all CAPS in the format: INGREDIENT: name",Ingredient,style2_concise
CYCLOPHOSPHAMIDE,"First, for clinical trial NCT00090051, identify the ingredients of the more effective regimen. Then, from that list, find the ingredient with a name that starts with the letter C. Finally, return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name.",Ingredient,style3_stepwise
Not_Listed,"For clinical trial NCT00416507, examine the constituent ingredients of the more efficacious regimen and identify the ingredient whose name commences with the letter G.

Then, determine the pharmaceutical company that received the most recent U.S. Food and Drug Administration (FDA) approval for this identified ingredient, for the period ending December 2024.
Note that this inquiry pertains exclusively to original drug approvals (i.e., New Drug Application/Biologics License Application), and excludes approvals for new indications or supplemental applications.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval,style1_formal
Not_Listed,"For trial NCT00416507, identify the ingredient in the more effective regimen that starts with the letter G.

Then, for this ingredient, identify the company with the most recent new drug approval by December 2024. Exclude new indications and supplemental approvals.

If the company is listed on a US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on a US stock market, indicate ""NOT LISTED"".",Open_on_Approval,style2_concise
Not_Listed,"First, for clinical trial NCT00416507, review the more effective regimen ingredients and identify which ingredient starts with the letter G.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

Finally, if this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval,style3_stepwise
15.140000343322754,"Pertaining to clinical trial NCT00720512, evaluate the constituent components of the superior therapeutic regimen and ascertain the specific agent whose nomenclature commences with the letter 'I'.

Subsequently, determine the pharmaceutical entity that secured the most recent U.S. Food and Drug Administration (FDA) approval for the aforementioned agent, for the period up to and including December 2024.
Please note that this inquiry is restricted to initial, comprehensive FDA drug approvals and explicitly excludes new indications or supplemental approvals.

Should the identified pharmaceutical entity be publicly traded on any United States stock exchange (inclusive of over-the-counter markets), provide:
1. The corresponding stock ticker symbol
2. The opening stock price on the date of the FDA approval

If the company is not publicly traded on a United States stock exchange, please indicate ""NOT LISTED"".",Open_on_Approval,style1_formal
15.140000343322754,"For clinical trial NCT00720512, identify the ingredient starting with 'I' in the more effective regimen.

Then, find the company with the most recent overall FDA drug approval for this ingredient by December 2024. Exclude new indications and supplemental approvals.

If the company is listed on a US stock market (including OTC markets), provide:
1. Stock ticker symbol
2. Opening stock price on the FDA approval date

If the company is not US-listed, state ""NOT LISTED"".",Open_on_Approval,style2_concise
15.140000343322754,"First, for clinical trial NCT00720512, review the more effective regimen ingredients and identify which ingredient starts with the letter I.

Then, for the ingredient identified above, determine which pharmaceutical company received the most recent overall FDA drug approval (up until December 2024).
Note that we are only looking for overall FDA drug approval, not new indication, not supplemental approvals.

Finally, if this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval,style3_stepwise
PEMETREXED DISODIUM,"For clinical trial NCT00190762, from the constituent agents of the regimen demonstrating superior efficacy, identify the agent whose name commences with the letter 'P'; return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name",Ingredient,style1_formal
PEMETREXED DISODIUM,For clinical trial NCT00190762. From the more effective regimen ingredients; find the ingredient starting with P return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name,Ingredient,style2_concise
PEMETREXED DISODIUM,"First, for clinical trial NCT00190762, consider the more effective regimen ingredients. Then, find which of those ingredients has a name that starts with the letter P. Finally, return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name.",Ingredient,style3_stepwise
Not_Listed,"Regarding clinical trial NCT00052936, analyze the constituents of the more efficacious regimen to identify the component whose name commences with the letter P.

Subsequently, ascertain the pharmaceutical entity that obtained the most recent U.S. Food and Drug Administration (FDA) approval for this identified component, for the period concluding in December 2024.
It should be noted that this inquiry is restricted to original FDA drug approvals and explicitly excludes new indications and supplemental approvals.

Should this entity be listed on any U.S. stock market (including over-the-counter markets), provide the following information:
1. The stock ticker symbol
2. The opening stock price on the date of the FDA approval

If the company is not listed on any U.S. stock market, please provide the designation ""NOT LISTED"".",Open_on_Approval,style1_formal
Not_Listed,"For clinical trial NCT00052936, identify the ingredient in the more effective regimen starting with the letter P.

Then, identify the pharmaceutical company with the most recent FDA approval for this ingredient by December 2024.
Note: This refers to original FDA drug approvals only, not new indications or supplemental approvals.

If the company is US-listed (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not US-listed, state ""NOT LISTED"".",Open_on_Approval,style2_concise
Not_Listed,"First, for clinical trial NCT00052936, review the more effective regimen ingredients and identify which ingredient starts with the letter P.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

Finally, if this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".",Open_on_Approval,style3_stepwise
"Jul 12, 2034","In reference to clinical trial NCT00003128, identify the constituent ingredient of the more efficacious therapeutic regimens whose nomenclature commences with the letter P.

Subsequently, for this identified ingredient, which received its last approval on or prior to December 2024, what is the date of its patent expiration?
Note that the scope of this inquiry is limited to the overall Food and Drug Administration (FDA) drug approval, and does not extend to new indications or supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.",Patent_Expire_Date_Text,style1_formal
"Jul 12, 2034","For clinical trial NCT00003128, identify the ingredient in the more effective regimen that starts with the letter P.

Then, find the patent expiration date for this ingredient, based on its last overall FDA drug approval by Dec, 2024.
Note: Exclude new indications and supplemental approvals.
Return only the year in YYYY format.",Patent_Expire_Date_Text,style2_concise
"Jul 12, 2034","First, for clinical trial NCT00003128, among the more effective regimen ingredients, identify which ingredient starts with the letter P.

Then, for this identified ingredient, find its patent expiration date based on its last overall FDA drug approval up till Dec, 2024. Note that we are only looking for overall FDA drug approval, not new indication, not supplemental approvals.

Finally, return only the year of that date in YYYY format.",Patent_Expire_Date_Text,style3_stepwise
"Nov 3, 2032","Pertaining to clinical trial NCT00417911, from among the constituent agents of the more efficacious therapeutic regimens, identify the specific agent whose nomenclature begins with the letter B.

Subsequently, for this identified agent whose most recent approval was granted on or before Dec, 2024, determine its patent expiration date.
It should be noted that the inquiry pertains exclusively to the overall Food and Drug Administration (FDA) drug approval, and does not extend to new indications or supplemental approvals.
Return the date solely in the year format: YYYY.",Patent_Expire_Date_Text,style1_formal
"Nov 3, 2032","For clinical trial NCT00417911, identify the ingredient in the more effective regimen that starts with the letter B.

For this ingredient, what is the patent expiration date for its last approval up till Dec, 2024?
Note: Use only overall FDA drug approval, not new indidcation or supplemental approvals.
Return only the year in YYYY format.",Patent_Expire_Date_Text,style2_concise
